lang	component	layer	score
sv_talbanken	keys	0	83.46
sv_talbanken	keys	0-1	87.26
sv_talbanken	keys	0-2	80.49
sv_talbanken	keys	0-6	30.89
sv_talbanken	keys	0-7	30.32
sv_talbanken	keys	0-10	36.40
sv_talbanken	keys	0-11	25.92
sv_talbanken	queries	0	83.79
sv_talbanken	queries	0-1	86.04
sv_talbanken	queries	0-2	85.35
sv_talbanken	queries	0-6	63.01
sv_talbanken	queries	0-7	48.87
sv_talbanken	queries	0-10	21.77
sv_talbanken	queries	0-11	34.19
sv_talbanken	values	0	82.89
sv_talbanken	values	0-1	85.83
sv_talbanken	values	0-2	85.71
sv_talbanken	values	0-6	72.19
sv_talbanken	values	0-7	67.57
sv_talbanken	values	0-10	67.59
sv_talbanken	values	0-11	69.12
sv_talbanken	attn_dense	0	87.27
sv_talbanken	attn_dense	0-1	87.14
sv_talbanken	attn_dense	0-2	83.26
sv_talbanken	attn_dense	0-6	78.13
sv_talbanken	attn_dense	0-7	76.83
sv_talbanken	attn_dense	0-10	77.27
sv_talbanken	attn_dense	0-11	74.48
en_ewt	keys	0	90.79
en_ewt	keys	0-1	89.41
en_ewt	keys	0-2	89.52
en_ewt	keys	0-6	86.36
en_ewt	keys	0-7	86.27
en_ewt	keys	0-10	74.85
en_ewt	keys	0-11	86.16
en_ewt	queries	0	90.93
en_ewt	queries	0-1	90.67
en_ewt	queries	0-2	90.30
en_ewt	queries	0-6	86.41
en_ewt	queries	0-7	84.98
en_ewt	queries	0-10	81.15
en_ewt	queries	0-11	84.35
en_ewt	values	0	90.55
en_ewt	values	0-1	90.66
en_ewt	values	0-2	88.95
en_ewt	values	0-6	86.19
en_ewt	values	0-7	81.46
en_ewt	values	0-10	82.86
en_ewt	values	0-11	85.36
en_ewt	attn_dense	0	90.81
en_ewt	attn_dense	0-1	89.74
en_ewt	attn_dense	0-2	90.31
en_ewt	attn_dense	0-6	86.71
en_ewt	attn_dense	0-7	86.13
en_ewt	attn_dense	0-10	87.17
en_ewt	attn_dense	0-11	86.71
it_isdt	keys	0	94.16
it_isdt	keys	0-1	93.99
it_isdt	keys	0-2	93.74
it_isdt	keys	0-6	88.99
it_isdt	keys	0-7	84.62
it_isdt	keys	0-10	84.69
it_isdt	keys	0-11	78.66
it_isdt	queries	0	94.08
it_isdt	queries	0-1	93.35
it_isdt	queries	0-2	92.53
it_isdt	queries	0-6	87.63
it_isdt	queries	0-7	85.65
it_isdt	queries	0-10	90.21
it_isdt	queries	0-11	90.58
it_isdt	values	0	94.29
it_isdt	values	0-1	93.19
it_isdt	values	0-2	93.79
it_isdt	values	0-6	90.34
it_isdt	values	0-7	88.43
it_isdt	values	0-10	85.89
it_isdt	values	0-11	88.11
it_isdt	attn_dense	0	94.13
it_isdt	attn_dense	0-1	93.96
it_isdt	attn_dense	0-2	93.61
it_isdt	attn_dense	0-6	89.24
it_isdt	attn_dense	0-7	91.12
it_isdt	attn_dense	0-10	89.53
it_isdt	attn_dense	0-11	91.62
ar_padt	keys	0	87.21
ar_padt	keys	0-1	86.41
ar_padt	keys	0-2	86.23
ar_padt	keys	0-6	79.75
ar_padt	keys	0-7	74.07
ar_padt	keys	0-10	70.87
ar_padt	keys	0-11	70.81
ar_padt	queries	0	87.00
ar_padt	queries	0-1	86.69
ar_padt	queries	0-2	85.28
ar_padt	queries	0-6	79.26
ar_padt	queries	0-7	74.57
ar_padt	queries	0-10	79.65
ar_padt	queries	0-11	71.35
ar_padt	values	0	86.05
ar_padt	values	0-1	86.66
ar_padt	values	0-2	84.08
ar_padt	values	0-6	78.96
ar_padt	values	0-7	75.59
ar_padt	values	0-10	67.60
ar_padt	values	0-11	80.12
ar_padt	attn_dense	0	86.85
ar_padt	attn_dense	0-1	86.83
ar_padt	attn_dense	0-2	86.03
ar_padt	attn_dense	0-6	83.11
ar_padt	attn_dense	0-7	82.90
ar_padt	attn_dense	0-10	82.90
ar_padt	attn_dense	0-11	81.85
hi_hdtb	keys	0	93.80
hi_hdtb	keys	0-1	93.73
hi_hdtb	keys	0-2	93.14
hi_hdtb	keys	0-6	87.86
hi_hdtb	keys	0-7	4.37
hi_hdtb	keys	0-10	45.41
hi_hdtb	keys	0-11	84.14
hi_hdtb	queries	0	93.14
hi_hdtb	queries	0-1	93.12
hi_hdtb	queries	0-2	91.84
hi_hdtb	queries	0-6	87.60
hi_hdtb	queries	0-7	89.21
hi_hdtb	queries	0-10	88.43
hi_hdtb	queries	0-11	58.83
hi_hdtb	values	0	93.12
hi_hdtb	values	0-1	93.80
hi_hdtb	values	0-2	92.39
hi_hdtb	values	0-6	91.12
hi_hdtb	values	0-7	90.92
hi_hdtb	values	0-10	90.98
hi_hdtb	values	0-11	85.19
hi_hdtb	attn_dense	0	93.90
hi_hdtb	attn_dense	0-1	93.60
hi_hdtb	attn_dense	0-2	93.70
hi_hdtb	attn_dense	0-6	90.81
hi_hdtb	attn_dense	0-7	92.08
hi_hdtb	attn_dense	0-10	91.86
hi_hdtb	attn_dense	0-11	90.35
ja_gsd	keys	0	94.02
ja_gsd	keys	0-1	93.27
ja_gsd	keys	0-2	92.50
ja_gsd	keys	0-6	50.97
ja_gsd	keys	0-7	57.49
ja_gsd	keys	0-10	31.11
ja_gsd	keys	0-11	58.21
ja_gsd	queries	0	94.02
ja_gsd	queries	0-1	93.90
ja_gsd	queries	0-2	93.55
ja_gsd	queries	0-6	87.24
ja_gsd	queries	0-7	31.10
ja_gsd	queries	0-10	60.08
ja_gsd	queries	0-11	59.49
ja_gsd	values	0	93.95
ja_gsd	values	0-1	92.08
ja_gsd	values	0-2	93.93
ja_gsd	values	0-6	91.45
ja_gsd	values	0-7	91.75
ja_gsd	values	0-10	90.17
ja_gsd	values	0-11	81.53
ja_gsd	attn_dense	0	93.55
ja_gsd	attn_dense	0-1	92.83
ja_gsd	attn_dense	0-2	93.00
ja_gsd	attn_dense	0-6	93.03
ja_gsd	attn_dense	0-7	92.75
ja_gsd	attn_dense	0-10	92.24
ja_gsd	attn_dense	0-11	92.24
zh_gsd	keys	0	81.65
zh_gsd	keys	0-1	83.95
zh_gsd	keys	0-2	81.89
zh_gsd	keys	0-6	54.27
zh_gsd	keys	0-7	50.02
zh_gsd	keys	0-10	24.46
zh_gsd	keys	0-11	32.63
zh_gsd	queries	0	84.68
zh_gsd	queries	0-1	80.91
zh_gsd	queries	0-2	82.42
zh_gsd	queries	0-6	45.91
zh_gsd	queries	0-7	51.34
zh_gsd	queries	0-10	20.66
zh_gsd	queries	0-11	45.57
zh_gsd	values	0	79.02
zh_gsd	values	0-1	84.08
zh_gsd	values	0-2	83.58
zh_gsd	values	0-6	68.07
zh_gsd	values	0-7	64.64
zh_gsd	values	0-10	64.74
zh_gsd	values	0-11	64.47
zh_gsd	attn_dense	0	84.81
zh_gsd	attn_dense	0-1	84.63
zh_gsd	attn_dense	0-2	83.40
zh_gsd	attn_dense	0-6	74.12
zh_gsd	attn_dense	0-7	70.77
zh_gsd	attn_dense	0-10	69.38
zh_gsd	attn_dense	0-11	70.81
