lang	layer	deprel	score
sv_talbanken	0	cc	79.38
sv_talbanken	0	root	93.96
sv_talbanken	0	csubj	82.89
sv_talbanken	0	csubj:pass	85.37
sv_talbanken	0	appos	64.23
sv_talbanken	0	compound:prt	80.40
sv_talbanken	0	nmod:poss	87.38
sv_talbanken	0	xcomp	79.79
sv_talbanken	0	acl	54.95
sv_talbanken	0	fixed	58.99
sv_talbanken	0	flat:name	71.95
sv_talbanken	0	orphan	55.98
sv_talbanken	0	compound	61.54
sv_talbanken	0	obl	80.14
sv_talbanken	0	nsubj:pass	91.36
sv_talbanken	0	det	88.63
sv_talbanken	0	obl:agent	84.38
sv_talbanken	0	aux:pass	54.07
sv_talbanken	0	amod	88.40
sv_talbanken	0	list	95.51
sv_talbanken	0	aux	91.69
sv_talbanken	0	iobj	88.00
sv_talbanken	0	advcl	73.15
sv_talbanken	0	parataxis	69.13
sv_talbanken	0	expl	89.19
sv_talbanken	0	nsubj	89.14
sv_talbanken	0	UAS	86.40
sv_talbanken	0	conj	69.04
sv_talbanken	0	vocative	26.16
sv_talbanken	0	discourse	79.81
sv_talbanken	0	acl:cleft	78.57
sv_talbanken	0	cop	87.26
sv_talbanken	0	case	85.73
sv_talbanken	0	dislocated	62.37
sv_talbanken	0	obj	88.14
sv_talbanken	0	nummod	81.41
sv_talbanken	0	advmod	79.83
sv_talbanken	0	acl:relcl	68.20
sv_talbanken	0	mark	85.26
sv_talbanken	0	nmod	72.12
sv_talbanken	0	ccomp	77.76
sv_talbanken	0-1	expl	85.22
sv_talbanken	0-1	nmod:poss	80.95
sv_talbanken	0-1	csubj	77.52
sv_talbanken	0-1	acl:cleft	73.42
sv_talbanken	0-1	vocative	67.22
sv_talbanken	0-1	cop	82.46
sv_talbanken	0-1	cc	72.28
sv_talbanken	0-1	amod	81.84
sv_talbanken	0-1	acl:relcl	58.72
sv_talbanken	0-1	flat:name	55.92
sv_talbanken	0-1	det	81.64
sv_talbanken	0-1	obj	82.73
sv_talbanken	0-1	acl	44.22
sv_talbanken	0-1	csubj:pass	82.57
sv_talbanken	0-1	xcomp	75.08
sv_talbanken	0-1	iobj	82.06
sv_talbanken	0-1	nmod	64.02
sv_talbanken	0-1	discourse	70.26
sv_talbanken	0-1	mark	79.43
sv_talbanken	0-1	orphan	49.01
sv_talbanken	0-1	aux:pass	45.85
sv_talbanken	0-1	obl	74.11
sv_talbanken	0-1	nummod	73.96
sv_talbanken	0-1	UAS	84.85
sv_talbanken	0-1	nsubj:pass	86.63
sv_talbanken	0-1	fixed	45.08
sv_talbanken	0-1	advmod	73.00
sv_talbanken	0-1	ccomp	72.60
sv_talbanken	0-1	obl:agent	77.80
sv_talbanken	0-1	conj	61.08
sv_talbanken	0-1	root	90.82
sv_talbanken	0-1	compound:prt	73.57
sv_talbanken	0-1	parataxis	63.32
sv_talbanken	0-1	nsubj	84.09
sv_talbanken	0-1	appos	55.34
sv_talbanken	0-1	list	94.89
sv_talbanken	0-1	aux	86.88
sv_talbanken	0-1	advcl	67.88
sv_talbanken	0-1	case	79.01
sv_talbanken	0-1	dislocated	51.93
sv_talbanken	0-1	compound	51.70
sv_talbanken	0-2	list	23.17
sv_talbanken	0-2	cop	5.68
sv_talbanken	0-2	acl	5.15
sv_talbanken	0-2	obl	5.37
sv_talbanken	0-2	csubj	4.35
sv_talbanken	0-2	dislocated	4.56
sv_talbanken	0-2	det	5.06
sv_talbanken	0-2	appos	4.46
sv_talbanken	0-2	orphan	4.00
sv_talbanken	0-2	compound	5.34
sv_talbanken	0-2	nsubj:pass	6.28
sv_talbanken	0-2	discourse	8.27
sv_talbanken	0-2	flat:name	5.51
sv_talbanken	0-2	csubj:pass	5.31
sv_talbanken	0-2	acl:cleft	6.98
sv_talbanken	0-2	iobj	4.81
sv_talbanken	0-2	nmod	5.32
sv_talbanken	0-2	conj	4.45
sv_talbanken	0-2	amod	5.37
sv_talbanken	0-2	obj	5.19
sv_talbanken	0-2	aux:pass	5.00
sv_talbanken	0-2	case	5.14
sv_talbanken	0-2	expl	5.22
sv_talbanken	0-2	parataxis	4.58
sv_talbanken	0-2	obl:agent	5.11
sv_talbanken	0-2	nummod	5.56
sv_talbanken	0-2	ccomp	4.38
sv_talbanken	0-2	root	24.40
