lang	layer	step	score
ar_padt	0	0	83.17
ar_padt	0	1	84.10
ar_padt	0	2	84.74
ar_padt	0	3	85.20
ar_padt	0	4	85.47
ar_padt	0	5	85.71
ar_padt	0	6	85.90
ar_padt	0	7	86.03
ar_padt	0	8	86.14
ar_padt	0	9	86.23
ar_padt	0	10	86.33
ar_padt	0	11	86.40
ar_padt	0	12	86.45
ar_padt	0	13	86.51
ar_padt	0	14	86.55
ar_padt	0	15	86.59
ar_padt	0	16	86.62
ar_padt	0	17	86.65
ar_padt	0	18	86.66
ar_padt	0	19	86.69
ar_padt	0-1	0	79.83
ar_padt	0-1	1	81.60
ar_padt	0-1	2	82.62
ar_padt	0-1	3	83.29
ar_padt	0-1	4	83.79
ar_padt	0-1	5	84.17
ar_padt	0-1	6	84.48
ar_padt	0-1	7	84.74
ar_padt	0-1	8	84.93
ar_padt	0-1	9	85.12
ar_padt	0-1	10	85.27
ar_padt	0-1	11	85.39
ar_padt	0-1	12	85.49
ar_padt	0-1	13	85.59
ar_padt	0-1	14	85.66
ar_padt	0-1	15	85.74
ar_padt	0-1	16	85.80
ar_padt	0-1	17	85.86
ar_padt	0-1	18	85.91
ar_padt	0-1	19	85.96
ar_padt	0-2	0	59.17
ar_padt	0-2	1	67.80
ar_padt	0-2	2	71.92
ar_padt	0-2	3	74.39
ar_padt	0-2	4	76.14
ar_padt	0-2	5	77.44
ar_padt	0-2	6	78.44
ar_padt	0-2	7	79.24
ar_padt	0-2	8	79.90
ar_padt	0-2	9	80.42
ar_padt	0-2	10	80.88
ar_padt	0-2	11	81.25
ar_padt	0-2	12	81.58
ar_padt	0-2	13	81.87
ar_padt	0-2	14	82.12
ar_padt	0-2	15	82.34
ar_padt	0-2	16	82.55
ar_padt	0-2	17	82.73
ar_padt	0-2	18	82.89
ar_padt	0-2	19	83.05
ar_padt	0-3	0	5.23
ar_padt	0-3	1	4.32
ar_padt	0-3	2	3.91
ar_padt	0-3	3	3.72
ar_padt	0-3	4	3.57
ar_padt	0-3	5	3.51
ar_padt	0-3	6	3.47
ar_padt	0-3	7	3.41
ar_padt	0-3	8	3.38
ar_padt	0-3	9	3.37
ar_padt	0-3	10	3.38
ar_padt	0-3	11	3.37
ar_padt	0-3	12	3.36
ar_padt	0-3	13	3.36
ar_padt	0-3	14	3.38
ar_padt	0-3	15	3.40
ar_padt	0-3	16	3.42
ar_padt	0-3	17	3.43
ar_padt	0-3	18	3.42
ar_padt	0-3	19	3.43
ar_padt	0-4	0	5.00
ar_padt	0-4	1	4.22
ar_padt	0-4	2	4.00
ar_padt	0-4	3	4.02
ar_padt	0-4	4	4.05
ar_padt	0-4	5	4.07
ar_padt	0-4	6	4.13
